500;52.24;62.62;73.4;45.12
600;62.4;74.483;87.8;54.416
700;73.1571;85.2571;105.329;63.7571
800;83.8375;101.412;120.475;72.2
900;94.5556;112.6;135.167;80.5667
1000;105.69;124.97;149.87;92.17
1100;113.436;138.018;163.855;99.3727
1200;127.85;149.8;178.442;107.308
1300;135.746;159.862;196.469;118.131
1400;147.171;174.486;210.407;126.386
1500;156.68;186.56;225.48;136.933
1600;168.119;201.163;240.175;143.95
1700;179.824;212.259;256.341;154.712
1800;189.022;225.422;271.139;162.133
1900;200.805;238.584;287.011;171.826
2000;210.215;250.595;300.965;180.21
